age,gender,annual_income,caste,state,occupation,family_size,land_owned,has_bank_account,eligible
25,Other,716246,SC,Tamil Nadu,Student,7,5.84,1,1
64,Other,378768,General,Maharashtra,Small Business Owner,7,2.1,1,0
52,Female,738152,SC,Maharashtra,Self Employed,8,0.74,0,1
31,Male,452980,ST,Madhya Pradesh,Daily Wage Worker,5,4.65,1,1
34,Male,170356,ST,Andhra Pradesh,Student,5,6.16,1,1
53,Female,267228,SC,Tamil Nadu,Small Business Owner,1,0.95,1,1
67,Female,92727,OBC,Andhra Pradesh,Farmer,9,9.51,1,1
57,Other,390615,General,West Bengal,Salaried,6,9.8,1,0
21,Male,582356,ST,Gujarat,Daily Wage Worker,9,5.45,1,1
19,Female,691211,OBC,Tamil Nadu,Small Business Owner,3,9.5,1,0
23,Male,450511,General,Bihar,Self Employed,5,1.79,0,0
71,Female,484376,ST,Gujarat,Small Business Owner,2,0.25,1,1
59,Female,61390,ST,Madhya Pradesh,Student,5,0.39,1,1
21,Male,681040,SC,Andhra Pradesh,Unemployed,8,5.88,1,1
71,Female,406898,General,Andhra Pradesh,Student,2,0.62,1,0
46,Female,388113,OBC,Gujarat,Small Business Owner,8,9.59,0,1
35,Other,720398,OBC,Maharashtra,Daily Wage Worker,4,1.42,1,1
43,Female,799078,OBC,Andhra Pradesh,Small Business Owner,1,3.05,1,1
61,Female,389208,General,Madhya Pradesh,Small Business Owner,5,8.23,1,0
51,Female,71281,OBC,Bihar,Farmer,1,2.19,0,1
27,Other,104189,OBC,Uttar Pradesh,Self Employed,7,2.43,1,1
53,Male,312093,OBC,Bihar,Daily Wage Worker,8,6.42,1,1
31,Other,360655,SC,Bihar,Small Business Owner,3,2.76,1,1
48,Other,696403,SC,Andhra Pradesh,Salaried,3,2.17,1,1
65,Male,582893,General,Karnataka,Self Employed,7,2.54,1,0
32,Other,412462,General,Maharashtra,Student,4,4.91,1,0
25,Male,444597,OBC,Andhra Pradesh,Daily Wage Worker,3,9.66,1,1
31,Other,299415,SC,Maharashtra,Student,8,8.32,1,1
40,Male,729682,ST,West Bengal,Small Business Owner,3,2.85,1,1
74,Female,91869,ST,Karnataka,Student,7,3.63,1,1
57,Other,607243,OBC,Andhra Pradesh,Student,2,4.65,1,0
38,Other,635676,OBC,Rajasthan,Farmer,1,9.79,1,1
33,Other,60207,SC,Bihar,Student,6,1.72,1,1
62,Other,268401,SC,West Bengal,Salaried,8,3.57,1,1
35,Female,209292,SC,Karnataka,Salaried,1,7.29,1,1
64,Other,527266,General,Andhra Pradesh,Self Employed,9,9.64,0,0
70,Female,546762,General,Madhya Pradesh,Small Business Owner,3,1.56,0,0
41,Female,255157,OBC,Gujarat,Unemployed,3,2.27,1,1
43,Female,72031,General,Gujarat,Student,4,2.26,1,1
42,Female,513937,SC,Maharashtra,Student,1,0.21,1,1
62,Male,645600,SC,Karnataka,Daily Wage Worker,9,6.04,1,1
58,Male,634054,General,Bihar,Farmer,3,6.71,1,1
46,Other,193521,ST,Bihar,Unemployed,4,6.03,1,1
32,Male,401977,OBC,Uttar Pradesh,Self Employed,1,0.71,1,1
62,Male,237771,ST,Gujarat,Unemployed,4,0.69,1,1
18,Other,287199,OBC,West Bengal,Student,1,2.1,1,1
42,Other,685329,ST,Karnataka,Daily Wage Worker,5,2.9,0,1
24,Other,690473,General,Bihar,Small Business Owner,5,7.87,0,0
26,Male,227164,OBC,Uttar Pradesh,Farmer,7,1.59,1,1
41,Male,506887,OBC,Karnataka,Small Business Owner,8,0.44,1,1
18,Other,584638,OBC,Tamil Nadu,Self Employed,4,3.94,1,0
61,Female,563313,SC,Bihar,Unemployed,7,4.16,0,1
25,Other,118487,SC,Tamil Nadu,Self Employed,4,4.51,0,1
41,Female,198694,ST,Karnataka,Student,3,8.27,1,1
28,Female,173853,General,Bihar,Self Employed,6,0.98,1,1
68,Other,365261,SC,Tamil Nadu,Small Business Owner,4,7.04,1,1
34,Other,285062,OBC,Rajasthan,Daily Wage Worker,3,3.38,1,1
25,Other,501610,SC,Uttar Pradesh,Self Employed,9,3.1,1,1
52,Male,283077,General,West Bengal,Salaried,5,9.33,1,1
52,Female,73782,SC,Gujarat,Daily Wage Worker,7,2.48,1,1
50,Male,559492,OBC,Uttar Pradesh,Unemployed,6,6.43,1,1
22,Male,704224,ST,Tamil Nadu,Farmer,5,2.75,1,1
59,Other,458808,OBC,Bihar,Farmer,7,5.07,1,1
56,Male,203245,General,Rajasthan,Student,6,7.86,1,1
58,Other,172258,ST,Rajasthan,Student,2,8.82,1,1
45,Female,685956,SC,Gujarat,Salaried,3,8.39,1,1
24,Other,504418,SC,Rajasthan,Unemployed,2,5.82,0,1
26,Male,532616,SC,Uttar Pradesh,Small Business Owner,3,2.49,0,1
25,Male,436328,ST,Andhra Pradesh,Farmer,1,6.61,0,1
29,Other,556581,OBC,Rajasthan,Farmer,8,7.1,0,1
51,Other,473966,ST,Gujarat,Farmer,6,0.11,1,1
50,Male,328710,ST,Rajasthan,Small Business Owner,2,4.39,1,1
65,Female,712550,General,Rajasthan,Farmer,8,8.43,0,0
72,Female,612621,ST,Madhya Pradesh,Self Employed,6,4.9,1,1
40,Other,434073,SC,Uttar Pradesh,Unemployed,7,3.11,1,1
41,Female,786265,OBC,Tamil Nadu,Daily Wage Worker,1,8.72,1,1
54,Male,663859,OBC,Maharashtra,Daily Wage Worker,7,1.56,1,1
52,Other,170263,OBC,Andhra Pradesh,Salaried,3,2.06,1,1
61,Male,599523,SC,Rajasthan,Self Employed,8,6.87,0,0
57,Male,50159,SC,West Bengal,Farmer,6,3.52,1,1
39,Female,717505,SC,Rajasthan,Farmer,4,7.13,0,1
44,Other,212993,SC,Madhya Pradesh,Student,8,1.58,1,1
52,Other,417003,SC,Tamil Nadu,Student,9,2.52,1,1
18,Female,197309,ST,West Bengal,Salaried,2,1.57,1,1
52,Male,157507,SC,Andhra Pradesh,Farmer,6,9.53,1,1
54,Male,64743,SC,West Bengal,Salaried,5,4.05,1,1
64,Male,96101,SC,Uttar Pradesh,Self Employed,5,3.37,0,1
31,Male,292717,SC,Gujarat,Daily Wage Worker,3,0.14,1,1
20,Other,695822,OBC,Gujarat,Farmer,8,1.53,1,1
18,Other,396371,SC,Andhra Pradesh,Unemployed,8,4.21,1,1
22,Female,280604,ST,Tamil Nadu,Small Business Owner,5,0.69,1,1
43,Female,237450,ST,Gujarat,Self Employed,8,5.11,1,1
72,Other,776481,ST,Karnataka,Farmer,8,4.55,1,1
31,Other,386907,General,Madhya Pradesh,Small Business Owner,3,7.67,1,1
56,Male,537030,OBC,Andhra Pradesh,Unemployed,2,6.6,1,1
44,Male,455453,SC,Andhra Pradesh,Student,9,4.46,1,1
26,Female,721009,General,Maharashtra,Salaried,2,2.25,1,0
32,Other,218785,SC,Maharashtra,Student,9,7.27,1,1
32,Female,254535,General,Uttar Pradesh,Daily Wage Worker,4,7.08,1,1
43,Other,750769,General,Uttar Pradesh,Student,2,1.53,1,0
59,Male,229838,ST,Maharashtra,Farmer,1,9.15,1,1
30,Female,620442,ST,Gujarat,Unemployed,4,0.64,0,1
68,Female,319160,General,Bihar,Student,9,0.55,1,0
49,Other,522779,ST,Andhra Pradesh,Farmer,9,1.87,1,1
56,Male,491904,General,Karnataka,Daily Wage Worker,4,9.09,1,1
66,Female,628526,OBC,Andhra Pradesh,Small Business Owner,9,5.2,0,0
69,Male,370752,ST,Rajasthan,Unemployed,6,7.88,1,1
49,Female,663369,ST,Tamil Nadu,Student,1,2.28,0,0
21,Male,297644,ST,Madhya Pradesh,Salaried,6,4.9,1,1
47,Other,249775,OBC,Bihar,Salaried,9,3.58,1,1
54,Female,112551,General,Karnataka,Unemployed,2,8.28,1,1
40,Female,784983,SC,Rajasthan,Salaried,6,0.23,1,1
56,Male,727800,ST,Uttar Pradesh,Student,2,2.44,0,0
62,Male,216277,General,Karnataka,Student,4,1.53,0,0
32,Female,130811,OBC,Maharashtra,Unemployed,8,8.59,1,1
60,Other,514028,SC,Andhra Pradesh,Student,7,4.68,1,1
46,Male,418266,ST,Karnataka,Small Business Owner,9,4.04,1,1
53,Male,284104,OBC,Tamil Nadu,Farmer,7,4.49,1,1
30,Male,593296,OBC,West Bengal,Daily Wage Worker,1,9.72,1,1
49,Female,252346,SC,Uttar Pradesh,Small Business Owner,2,8.5,1,1
24,Female,606690,General,Madhya Pradesh,Small Business Owner,6,7.06,1,0
68,Female,234456,ST,Madhya Pradesh,Salaried,7,2.9,1,1
39,Female,449009,ST,Karnataka,Farmer,3,1.65,1,1
45,Other,546043,General,West Bengal,Unemployed,9,9.21,1,1
19,Other,186643,General,Andhra Pradesh,Salaried,7,4.23,1,0
59,Female,540083,General,Rajasthan,Farmer,6,2.79,1,1
62,Other,163550,SC,Bihar,Student,6,4.71,0,1
74,Male,534146,SC,Andhra Pradesh,Unemployed,1,9.18,1,1
70,Male,141218,ST,Rajasthan,Unemployed,5,3.87,1,1
23,Male,183296,SC,Bihar,Salaried,3,5.63,1,1
45,Female,549909,OBC,West Bengal,Student,7,8.03,1,0
45,Male,568767,ST,Bihar,Salaried,3,4.27,1,1
61,Other,229767,SC,Andhra Pradesh,Self Employed,5,2.34,1,1
61,Female,441858,General,Tamil Nadu,Farmer,7,9.95,1,1
37,Other,290016,OBC,Karnataka,Self Employed,3,9.57,1,1
47,Male,82441,General,Rajasthan,Farmer,2,8.43,1,1
28,Male,288038,ST,Tamil Nadu,Daily Wage Worker,6,6.88,0,1
72,Male,744489,General,Rajasthan,Small Business Owner,8,2.95,0,0
45,Female,666410,SC,Karnataka,Unemployed,4,9.13,1,1
42,Other,94760,SC,Gujarat,Salaried,9,2.76,0,1
56,Female,335622,ST,Bihar,Daily Wage Worker,8,8.01,1,1
50,Female,397860,General,West Bengal,Daily Wage Worker,7,9.18,1,1
18,Male,717540,ST,Gujarat,Unemployed,7,6.03,1,1
74,Female,148538,General,Gujarat,Unemployed,3,8.03,1,1
44,Female,589660,OBC,Madhya Pradesh,Farmer,6,7.92,0,1
74,Male,561511,SC,Maharashtra,Self Employed,5,1.93,1,1
69,Female,271035,ST,Andhra Pradesh,Student,1,6.68,1,1
30,Male,432736,OBC,Tamil Nadu,Farmer,3,0.93,1,1
58,Male,405779,OBC,Tamil Nadu,Student,1,5.08,1,1
20,Male,685310,ST,Tamil Nadu,Daily Wage Worker,4,1.62,0,1
56,Male,628328,ST,Tamil Nadu,Student,3,4.16,1,1
23,Female,776728,OBC,Andhra Pradesh,Self Employed,4,8.33,1,0
25,Male,652644,General,Gujarat,Farmer,9,9.87,1,1
44,Male,328355,OBC,Andhra Pradesh,Unemployed,3,3.18,1,1
26,Female,417570,ST,Tamil Nadu,Self Employed,6,5.32,1,1
54,Female,317986,OBC,Maharashtra,Small Business Owner,6,5.11,1,1
50,Other,506331,General,Uttar Pradesh,Self Employed,7,9.54,1,0
68,Female,437881,SC,Karnataka,Small Business Owner,9,4.79,1,1
59,Female,358112,SC,Tamil Nadu,Farmer,7,6.99,1,1
61,Other,203077,OBC,West Bengal,Unemployed,1,9.22,1,1
41,Female,104575,General,Uttar Pradesh,Self Employed,8,3.73,0,1
32,Female,523958,SC,Andhra Pradesh,Small Business Owner,5,9.02,0,1
71,Female,724331,OBC,West Bengal,Unemployed,9,9.17,1,1
49,Female,468815,OBC,West Bengal,Salaried,5,9.31,1,1
49,Other,530808,General,Rajasthan,Salaried,5,2.7,1,0
41,Female,641202,ST,West Bengal,Salaried,2,4.0,1,1
58,Female,641343,OBC,Tamil Nadu,Student,3,8.7,1,0
69,Other,661985,ST,Rajasthan,Self Employed,9,3.59,1,1
66,Male,680527,ST,Madhya Pradesh,Farmer,7,6.0,1,1
66,Other,285469,SC,Gujarat,Farmer,1,1.18,0,1
69,Male,173106,ST,West Bengal,Student,3,0.56,1,1
29,Other,517835,General,Maharashtra,Farmer,2,4.12,1,1
56,Other,350486,SC,Karnataka,Small Business Owner,1,5.79,1,1
19,Female,52257,SC,West Bengal,Salaried,9,3.93,0,1
20,Male,339508,SC,Madhya Pradesh,Self Employed,8,5.78,0,1
66,Female,730332,OBC,Bihar,Farmer,5,5.15,1,1
54,Male,161715,OBC,Andhra Pradesh,Farmer,2,6.86,1,1
66,Other,76654,ST,Andhra Pradesh,Daily Wage Worker,1,6.5,1,1
73,Other,786129,SC,Madhya Pradesh,Daily Wage Worker,7,4.24,1,1
34,Male,393567,SC,Bihar,Daily Wage Worker,2,4.25,1,1
66,Female,341464,General,Andhra Pradesh,Self Employed,1,1.41,0,0
19,Female,595096,ST,Andhra Pradesh,Salaried,2,5.13,0,0
19,Female,626677,General,Andhra Pradesh,Unemployed,7,5.87,1,0
45,Female,538906,ST,Madhya Pradesh,Salaried,7,4.76,1,1
71,Other,168581,ST,Gujarat,Salaried,6,3.26,0,1
40,Other,177927,OBC,Karnataka,Self Employed,5,7.22,1,1
54,Other,84773,OBC,Madhya Pradesh,Small Business Owner,3,0.75,0,1
49,Other,756528,General,Bihar,Small Business Owner,3,9.14,1,0
50,Other,470963,ST,West Bengal,Self Employed,9,0.21,1,1
18,Female,388540,SC,Gujarat,Daily Wage Worker,4,9.62,1,1
36,Female,551590,OBC,Gujarat,Farmer,9,4.62,0,1
19,Female,419836,SC,West Bengal,Student,4,4.13,1,1
70,Female,264764,General,Maharashtra,Student,2,2.56,0,0
61,Other,631793,OBC,Rajasthan,Unemployed,4,0.1,1,1
43,Other,592423,OBC,Karnataka,Farmer,6,2.75,1,1
49,Other,665175,ST,Karnataka,Unemployed,6,1.09,0,1
23,Male,172118,General,Maharashtra,Daily Wage Worker,5,6.6,1,1
49,Female,359521,ST,Rajasthan,Unemployed,1,3.19,1,1
72,Female,204626,OBC,Karnataka,Farmer,3,7.67,1,1
21,Other,295739,General,Bihar,Farmer,5,2.07,0,1
72,Female,528356,OBC,Uttar Pradesh,Student,6,9.0,0,0
28,Female,329067,General,Uttar Pradesh,Small Business Owner,1,5.23,0,0
73,Other,359735,OBC,Karnataka,Daily Wage Worker,9,1.15,0,1
34,Male,636549,SC,Tamil Nadu,Self Employed,3,4.01,1,1
55,Male,366480,SC,Karnataka,Unemployed,3,2.07,1,1
41,Male,386227,ST,West Bengal,Student,2,2.0,1,1
22,Other,635236,SC,West Bengal,Unemployed,8,5.06,1,1
69,Female,290891,OBC,Rajasthan,Unemployed,3,6.72,1,1
51,Other,214074,OBC,Andhra Pradesh,Self Employed,6,9.12,1,1
23,Other,523314,SC,Gujarat,Daily Wage Worker,2,5.02,1,1
39,Female,559452,ST,Bihar,Farmer,7,9.66,1,1
28,Male,338816,SC,Maharashtra,Salaried,4,9.42,1,1
65,Male,191365,General,Karnataka,Unemployed,9,8.65,0,1
33,Other,499076,General,Andhra Pradesh,Salaried,9,5.0,1,0
50,Male,112507,General,Andhra Pradesh,Daily Wage Worker,7,1.41,0,1
26,Other,107134,SC,Bihar,Salaried,8,2.18,0,1
23,Other,183172,SC,Maharashtra,Unemployed,3,6.48,1,1
33,Female,291225,SC,West Bengal,Self Employed,5,4.22,1,1
46,Female,243069,General,Madhya Pradesh,Salaried,2,1.47,1,1
20,Female,610897,ST,Bihar,Daily Wage Worker,7,4.79,1,1
37,Other,224037,OBC,Andhra Pradesh,Daily Wage Worker,8,0.17,1,1
53,Female,713376,SC,Uttar Pradesh,Small Business Owner,9,7.34,0,1
36,Male,482995,ST,Karnataka,Small Business Owner,7,0.74,1,1
43,Male,546013,OBC,Rajasthan,Self Employed,8,6.29,1,1
20,Other,344025,OBC,Uttar Pradesh,Salaried,9,7.93,0,0
36,Other,787954,OBC,Andhra Pradesh,Salaried,6,1.33,1,0
37,Female,550098,ST,Gujarat,Small Business Owner,2,5.19,1,1
49,Other,757173,ST,Tamil Nadu,Farmer,2,7.79,0,1
24,Other,307803,General,Maharashtra,Student,4,2.61,0,0
69,Male,741381,ST,West Bengal,Daily Wage Worker,9,1.63,1,1
58,Male,366275,ST,Karnataka,Farmer,7,3.37,0,1
50,Female,729447,ST,Rajasthan,Daily Wage Worker,2,5.55,1,1
57,Other,62828,OBC,Madhya Pradesh,Farmer,8,5.75,1,1
56,Other,566835,SC,West Bengal,Small Business Owner,7,1.31,1,1
35,Male,706761,General,Karnataka,Small Business Owner,9,4.58,0,0
57,Other,273461,SC,Madhya Pradesh,Student,8,2.68,1,1
18,Male,488080,SC,Rajasthan,Farmer,3,8.42,1,1
28,Female,463523,ST,Andhra Pradesh,Daily Wage Worker,1,3.14,1,1
45,Male,414662,General,Tamil Nadu,Salaried,2,8.39,1,0
74,Other,331755,SC,Uttar Pradesh,Daily Wage Worker,2,4.29,1,1
42,Female,749151,SC,Uttar Pradesh,Unemployed,4,7.27,1,1
67,Male,388384,General,Andhra Pradesh,Small Business Owner,6,5.1,1,0
40,Male,289719,ST,West Bengal,Self Employed,4,6.22,1,1
48,Female,782763,SC,Andhra Pradesh,Self Employed,9,3.95,1,1
47,Female,316010,OBC,Andhra Pradesh,Small Business Owner,4,7.68,1,1
59,Male,737605,SC,Karnataka,Unemployed,6,4.25,1,1
52,Other,487940,OBC,Karnataka,Self Employed,6,4.57,1,1
24,Male,645642,ST,Rajasthan,Small Business Owner,1,5.18,1,1
33,Female,101374,SC,Tamil Nadu,Self Employed,8,8.32,1,1
43,Male,164397,General,Karnataka,Small Business Owner,3,6.59,0,1
65,Female,298552,General,Rajasthan,Student,6,3.49,0,0
74,Female,436721,SC,Gujarat,Salaried,3,6.7,1,1
69,Other,473332,ST,Andhra Pradesh,Salaried,2,6.42,0,0
66,Female,342575,ST,Andhra Pradesh,Daily Wage Worker,5,9.31,1,1
19,Female,461124,General,West Bengal,Unemployed,1,8.41,1,1
18,Other,79336,SC,Gujarat,Small Business Owner,9,6.47,0,1
65,Female,105350,ST,West Bengal,Farmer,7,3.42,1,1
29,Other,643849,General,Madhya Pradesh,Daily Wage Worker,3,7.8,1,1
22,Other,560470,OBC,Rajasthan,Daily Wage Worker,4,5.75,1,1
54,Female,111240,SC,Rajasthan,Small Business Owner,6,9.85,1,1
49,Female,725453,OBC,Andhra Pradesh,Small Business Owner,3,2.48,1,1
72,Male,449371,OBC,Bihar,Daily Wage Worker,7,0.8,1,1
26,Other,620895,ST,Madhya Pradesh,Daily Wage Worker,6,0.7,0,1
58,Male,761028,ST,Rajasthan,Salaried,9,6.4,1,1
52,Female,231196,ST,Karnataka,Farmer,5,9.39,1,1
36,Male,365014,SC,Andhra Pradesh,Daily Wage Worker,4,0.02,0,1
65,Other,499763,OBC,West Bengal,Salaried,3,7.26,1,0
33,Male,638398,SC,Gujarat,Daily Wage Worker,1,6.57,1,1
20,Other,234626,ST,West Bengal,Self Employed,3,7.32,1,1
37,Female,726296,OBC,Uttar Pradesh,Daily Wage Worker,3,3.55,1,1
41,Female,429039,SC,Bihar,Small Business Owner,7,8.2,1,1
71,Other,578714,SC,Rajasthan,Unemployed,7,0.45,1,1
73,Female,794199,General,Tamil Nadu,Unemployed,1,7.55,1,0
50,Female,491048,SC,Maharashtra,Daily Wage Worker,3,2.67,1,1
41,Female,602439,ST,Bihar,Student,8,4.77,1,1
69,Female,323452,SC,Andhra Pradesh,Self Employed,9,8.23,1,1
28,Other,290853,OBC,Rajasthan,Farmer,7,2.71,1,1
66,Male,226743,SC,Gujarat,Daily Wage Worker,7,1.85,0,1
25,Male,140306,General,Rajasthan,Farmer,8,6.81,0,1
53,Female,799468,OBC,Maharashtra,Self Employed,6,5.33,1,1
55,Male,576492,OBC,Gujarat,Daily Wage Worker,3,5.14,0,1
57,Male,142769,General,West Bengal,Student,1,2.57,0,0
37,Female,137265,ST,Gujarat,Salaried,7,0.35,0,1
52,Female,102428,OBC,Bihar,Student,1,4.1,1,1
65,Male,608158,ST,West Bengal,Small Business Owner,1,1.07,1,1
42,Other,677835,OBC,Rajasthan,Student,9,9.06,1,0
52,Female,99067,OBC,Andhra Pradesh,Salaried,7,0.41,1,1
42,Other,162217,ST,Madhya Pradesh,Small Business Owner,4,4.32,1,1
46,Male,468184,OBC,Andhra Pradesh,Salaried,6,0.52,1,1
35,Female,673222,ST,Rajasthan,Unemployed,1,0.96,0,1
63,Other,192980,General,Maharashtra,Salaried,7,6.59,1,0
35,Female,552367,ST,Madhya Pradesh,Daily Wage Worker,6,6.47,1,1
19,Male,386851,General,Rajasthan,Farmer,4,0.33,1,1
71,Other,259329,OBC,Tamil Nadu,Unemployed,7,0.01,1,1
52,Male,307354,ST,Bihar,Unemployed,3,0.79,1,1
33,Male,573406,OBC,Tamil Nadu,Farmer,1,7.63,1,1
58,Female,111215,ST,West Bengal,Unemployed,4,5.85,1,1
53,Other,761195,General,Uttar Pradesh,Salaried,3,0.38,1,0
50,Male,361573,General,Rajasthan,Student,1,4.88,1,0
21,Male,682336,ST,Karnataka,Self Employed,2,7.12,1,1
50,Other,219530,General,Karnataka,Salaried,5,8.69,1,1
31,Male,227241,OBC,Gujarat,Small Business Owner,8,9.34,0,1
38,Male,188731,OBC,Andhra Pradesh,Small Business Owner,1,3.27,1,1
65,Other,503830,SC,Andhra Pradesh,Student,4,1.36,1,0
37,Other,389384,General,Andhra Pradesh,Student,4,2.37,1,0
73,Other,476009,OBC,Tamil Nadu,Unemployed,5,7.76,1,1
25,Other,163688,ST,Bihar,Daily Wage Worker,7,9.71,1,1
24,Female,358617,General,Rajasthan,Daily Wage Worker,8,4.66,1,1
20,Other,794748,OBC,Maharashtra,Unemployed,6,3.05,1,1
34,Female,540834,General,Gujarat,Unemployed,1,4.29,1,1
50,Female,430596,ST,West Bengal,Farmer,7,3.05,1,1
65,Female,761111,OBC,Madhya Pradesh,Farmer,3,2.56,0,0
29,Male,784275,SC,West Bengal,Self Employed,6,5.94,1,1
68,Female,319150,SC,Rajasthan,Self Employed,8,0.16,1,1
39,Female,299243,General,Uttar Pradesh,Self Employed,7,2.6,1,1
72,Male,648506,ST,Andhra Pradesh,Self Employed,6,6.61,1,1
39,Male,246416,OBC,Madhya Pradesh,Student,9,0.32,1,1
63,Male,606718,ST,Tamil Nadu,Student,9,0.83,1,0
47,Other,73091,OBC,Rajasthan,Farmer,1,2.93,1,1
55,Male,598277,General,Uttar Pradesh,Daily Wage Worker,1,8.78,1,1
55,Male,125451,OBC,Tamil Nadu,Unemployed,1,7.65,1,1
62,Female,68990,ST,Uttar Pradesh,Small Business Owner,8,0.22,1,1
68,Male,402414,ST,Andhra Pradesh,Daily Wage Worker,7,5.02,1,1
71,Other,300541,General,Tamil Nadu,Salaried,3,2.75,1,0
25,Male,716393,ST,Bihar,Student,2,6.49,0,0
44,Other,420416,OBC,Karnataka,Self Employed,4,7.22,1,1
44,Male,174932,General,West Bengal,Self Employed,3,8.63,1,1
51,Male,318083,OBC,Bihar,Salaried,7,4.75,1,1
38,Male,163000,ST,Madhya Pradesh,Daily Wage Worker,8,9.94,0,1
47,Male,752922,General,Gujarat,Self Employed,6,9.8,1,0
50,Other,609351,OBC,Karnataka,Daily Wage Worker,3,8.82,0,1
45,Other,543216,ST,Bihar,Unemployed,6,5.75,1,1
64,Female,782081,ST,Rajasthan,Salaried,2,3.98,1,0
50,Other,732405,SC,Uttar Pradesh,Small Business Owner,7,3.64,1,1
22,Male,559850,ST,Madhya Pradesh,Daily Wage Worker,7,0.12,0,1
